Date,Open Price,Close Price
01-Jan-21,47785.28,47868.98
04-Jan-21,48109.17,48176.8
05-Jan-21,48037.63,48437.78
06-Jan-21,48616.66,48174.06
07-Jan-21,48524.36,48093.32
08-Jan-21,48464.91,48782.51
11-Jan-21,49252.31,49269.32
12-Jan-21,49228.26,49517.11
13-Jan-21,49763.93,49492.32
14-Jan-21,49432.83,49584.16
15-Jan-21,49656.71,49034.67
18-Jan-21,49061.22,48564.27
19-Jan-21,48900.31,49398.29
20-Jan-21,49508.79,49792.12
21-Jan-21,50096.57,49624.76
22-Jan-21,49594.95,48878.54
25-Jan-21,49253.68,48347.59
27-Jan-21,48385.28,47409.93
28-Jan-21,46834.57,46874.36
29-Jan-21,47423.47,46285.77
01-Feb-21,46617.95,48600.61
02-Feb-21,49193.26,49797.72
03-Feb-21,50231.06,50255.75
04-Feb-21,50212.25,50614.29
05-Feb-21,51031.39,50731.63
08-Feb-21,51146.67,51348.77
09-Feb-21,51484.23,51329.08
10-Feb-21,51355.89,51309.39
11-Feb-21,51165.84,51531.52
12-Feb-21,51614.77,51544.3
15-Feb-21,51907.75,52154.13
16-Feb-21,52400.03,52104.17
17-Feb-21,51996.94,51703.83
18-Feb-21,51903.96,51324.69
19-Feb-21,51238.02,50889.76
22-Feb-21,50910.51,49744.32
23-Feb-21,49994.85,49751.41
24-Feb-21,49763.94,50781.69
25-Feb-21,51207.61,51039.31
26-Feb-21,50256.71,49099.99
01-Mar-21,49747.71,49849.84
02-Mar-21,50258.09,50296.89
03-Mar-21,50738.21,51444.65
04-Mar-21,50812.14,50846.08
05-Mar-21,50517.36,50405.32
08-Mar-21,50654.02,50441.07
09-Mar-21,50714.16,51025.48
10-Mar-21,51404.68,51279.51
12-Mar-21,51660.98,50792.08
15-Mar-21,50773.47,50395.08
16-Mar-21,50608.42,50363.96
17-Mar-21,50436.02,49801.62
18-Mar-21,50161.25,49216.52
19-Mar-21,48881.19,49858.24
22-Mar-21,49878.77,49771.29
23-Mar-21,49876.21,50051.44
24-Mar-21,49786.47,49180.31
25-Mar-21,49201.98,48440.12
26-Mar-21,48969.25,49008.5
30-Mar-21,49331.68,50136.58
31-Mar-21,50049.12,49509.15
01-Apr-21,49868.53,50029.83
05-Apr-21,50020.91,49159.32
06-Apr-21,49441.13,49201.39
07-Apr-21,49277.09,49661.76
08-Apr-21,49885.26,49746.21
09-Apr-21,49743.39,49591.32
12-Apr-21,48956.65,47883.38
13-Apr-21,47991.53,48544.06
15-Apr-21,48512.77,48803.68
16-Apr-21,48935.74,48832.03
19-Apr-21,47940.81,47949.42
20-Apr-21,48473.04,47705.8
22-Apr-21,47501.71,48080.67
23-Apr-21,47863.81,47878.45
26-Apr-21,48197.37,48386.51
27-Apr-21,48424.08,48944.14
28-Apr-21,49066.64,49733.84
29-Apr-21,50093.86,49765.94
30-Apr-21,49360.89,48782.36
03-May-21,48356.01,48718.52
04-May-21,48881.63,48253.51
05-May-21,48569.12,48677.55
06-May-21,48877.78,48949.76
07-May-21,49169.14,49206.47
10-May-21,49496.05,49502.41
11-May-21,49066.45,49161.81
12-May-21,49171.28,48690.8
14-May-21,48898.93,48732.55
17-May-21,48990.7,49580.73
18-May-21,49986.68,50193.33
19-May-21,50088.81,49902.64
20-May-21,49971.52,49564.86
21-May-21,49833.98,50540.48
24-May-21,50727.28,50651.9
25-May-21,50922.32,50637.53
26-May-21,50899.58,51017.52
27-May-21,51128.8,51115.22
28-May-21,51381.27,51422.88
31-May-21,51476.22,51937.44
01-Jun-21,52067.51,51934.88
02-Jun-21,51749.1,51849.48
03-Jun-21,52121.58,52232.43
04-Jun-21,52367.52,52100.05
07-Jun-21,52231.38,52328.51
08-Jun-21,52428.72,52275.57
09-Jun-21,52401.41,51941.64
10-Jun-21,52143.9,52300.47
11-Jun-21,52477.19,52474.76
14-Jun-21,52492.34,52551.53
15-Jun-21,52751.83,52773.05
16-Jun-21,52782.21,52501.98
17-Jun-21,52122.25,52323.33
18-Jun-21,52568.07,52344.45
21-Jun-21,51887.55,52574.46
22-Jun-21,52885.04,52588.71
23-Jun-21,52912.35,52306.08
24-Jun-21,52514.57,52699
25-Jun-21,52877.16,52925.04
28-Jun-21,53126.73,52735.59
29-Jun-21,52795.76,52549.66
30-Jun-21,52651.09,52482.71
01-Jul-21,52638.5,52318.6
02-Jul-21,52434.55,52484.67
05-Jul-21,52682.89,52880
06-Jul-21,52874.85,52861.18
07-Jul-21,52919.71,53054.76
08-Jul-21,53065.69,52568.94
09-Jul-21,52508.24,52386.19
12-Jul-21,52634.33,52372.69
13-Jul-21,52694.89,52769.73
14-Jul-21,52801.44,52904.05
15-Jul-21,52968.89,53158.85
16-Jul-21,53244.4,53140.06
19-Jul-21,52606.99,52553.4
20-Jul-21,52432.88,52198.51
22-Jul-21,52494.56,52837.21
23-Jul-21,52967.87,52975.8
26-Jul-21,52985.26,52852.27
27-Jul-21,52995.72,52578.76
28-Jul-21,52673.69,52443.71
29-Jul-21,52693.53,52653.07
30-Jul-21,52792.36,52586.84
02-Aug-21,52901.28,52950.63
03-Aug-21,53125.97,53823.36
04-Aug-21,54071.22,54369.77
05-Aug-21,54576.64,54492.84
06-Aug-21,54492.17,54277.72
09-Aug-21,54385.71,54402.85
10-Aug-21,54461.31,54554.66
11-Aug-21,54730.65,54525.93
12-Aug-21,54641.22,54843.98
13-Aug-21,54911.95,55437.29
16-Aug-21,55479.74,55582.58
17-Aug-21,55565.64,55792.27
18-Aug-21,56073.31,55629.49
20-Aug-21,55159.13,55329.32
23-Aug-21,55695.84,55555.79
24-Aug-21,55647.11,55958.98
25-Aug-21,56067.06,55944.21
26-Aug-21,55988.41,55949.1
27-Aug-21,55862.93,56124.72
30-Aug-21,56329.25,56889.76
31-Aug-21,56995.15,57552.39
01-Sep-21,57763.53,57338.21
02-Sep-21,57423.65,57852.54
03-Sep-21,57983.45,58129.95
06-Sep-21,58411.62,58296.91
07-Sep-21,58418.69,58279.48
08-Sep-21,58350.56,58250.26
09-Sep-21,58172.98,58305.07
13-Sep-21,58262.11,58177.76
14-Sep-21,58482.62,58247.09
15-Sep-21,58354.11,58723.2
16-Sep-21,58881.04,59141.16
17-Sep-21,59409.98,59015.89
20-Sep-21,58634.69,58490.93
21-Sep-21,58630.06,59005.27
22-Sep-21,59166.15,58927.33
23-Sep-21,59358.18,59885.36
24-Sep-21,60158.76,60048.47
27-Sep-21,60303.79,60077.88
28-Sep-21,60285.89,59667.6
29-Sep-21,59296.54,59413.27
30-Sep-21,59549.57,59126.36
01-Oct-21,58889.77,58765.58
04-Oct-21,59143,59299.32
05-Oct-21,59320.14,59744.88
06-Oct-21,59942,59189.73
07-Oct-21,59632.81,59677.83
08-Oct-21,59960.39,60059.06
11-Oct-21,60099.68,60135.78
12-Oct-21,60045.75,60284.31
13-Oct-21,60619.91,60737.05
14-Oct-21,61088.82,61305.95
18-Oct-21,61817.32,61765.59
19-Oct-21,62156.48,61716.05
20-Oct-21,61800.07,61259.96
21-Oct-21,61557.94,60923.5
22-Oct-21,61044.54,60821.62
25-Oct-21,61398.75,60967.05
26-Oct-21,60997.9,61350.26
27-Oct-21,61499.7,61143.33
28-Oct-21,61081,59984.7
29-Oct-21,59857.33,59306.93
01-Nov-21,59577.48,60138.46
02-Nov-21,60360.61,60029.06
03-Nov-21,60275.21,59771.92
04-Nov-21,60207.97,60067.62
08-Nov-21,60385.76,60545.61
09-Nov-21,60609.72,60433.45
10-Nov-21,60295.26,60352.82
11-Nov-21,60291.7,59919.69
12-Nov-21,60248.04,60686.69
15-Nov-21,60837.4,60718.71
16-Nov-21,60755.38,60322.37
17-Nov-21,60179.93,60008.33
18-Nov-21,59968.75,59636.01
22-Nov-21,59710.48,58465.89
23-Nov-21,57983.95,58664.33
24-Nov-21,58839.32,58340.99
25-Nov-21,58363.93,58795.09
26-Nov-21,58254.79,57107.15
29-Nov-21,57028.04,57260.58
30-Nov-21,57272.08,57064.87
01-Dec-21,57365.85,57684.79
02-Dec-21,57781.48,58461.29
03-Dec-21,58555.58,57696.46
06-Dec-21,57778.01,56747.14
07-Dec-21,57125.98,57633.65
08-Dec-21,58158.56,58649.68
09-Dec-21,58831.41,58807.13
10-Dec-21,58696.71,58786.67
13-Dec-21,59103.72,58283.42
14-Dec-21,58059.76,58117.09
15-Dec-21,58122,57788.03
16-Dec-21,58243.43,57901.14
17-Dec-21,58021.63,57011.74
20-Dec-21,56517.26,55822.01
21-Dec-21,56320.02,56319.01
22-Dec-21,56599.47,56930.56
23-Dec-21,57251.15,57315.28
24-Dec-21,57567.11,57124.31
27-Dec-21,56948.33,57420.24
28-Dec-21,57751.21,57897.48
29-Dec-21,57892.31,57806.49
30-Dec-21,57755.4,57794.32
31-Dec-21,57849.76,58253.82
